id,date,views,forwards,edit_date,item,item_name,address,amount,currency
1666,2021-12-26,1410,0,2021-12-26,1-DG1 ,,, قیمت گروی  (3 نیم لک افغانی ) ,HT
1664,2021-12-25,1440,1,2021-12-25,0-K21 ,, ، مزارشریف ، سرک چهل متره," فروش | 42,000$ با جور آمد   ",Dollar
1658,2021-12-24,1450,1,2022-03-30,0-HG29 ,, ، مزارشریف ، کارته صلح," گروی | 12,000$ با جور آمد   ",Dollar
1648,2021-12-24,1421,1,2022-03-13,0-H110 ,, ، مزارشریف ، سرک عمومی پُل هوایی," فروش | 15,000$ با جور آمد   ",Dollar
1639,2021-12-23,1398,1,2021-12-23,0-H165 ,, ، مزارشریف ، سرک عمومی پُل هوایی, فروش |فی متر 650$ با جور آمد   ,Dollar
1630,2021-12-23,1385,0,2021-12-23,0-H56 ,, ، مزارشریف ، چوک شمع," فروش | 26,000$ با جور آمد   ",Dollar
1624,2021-12-22,1399,1,2021-12-22,0-H56 ,, ، مزارشریف ، چوک شمع," فروش | 26,000$ با جور آمد   ",Dollar
1614,2021-12-22,1343,0,2021-12-22,0-H56 ,, ، مزارشریف ، سرک چهل متره," فروش | 27,000$ با جور آمد   ",Dollar
1609,2021-12-21,1332,0,2021-12-21,0-K81 ,, دشت شور سرک عمومی, فروش | فی متر 180$ با جور آمد   ,Dollar
1583,2021-12-20,1360,0,2021-12-20,0-H165 ,حویلی, ، مزارشریف ، شهرک خالد," فروش | 35,000 با جور آمد   ",Dollar
1581,2021-12-19,1336,1,2021-12-19,0-k80 ,, ، شهرک خالد قسمت اول ," فروش | 17,500$ با جور آمد   ",Dollar
1576,2021-12-19,1315,0,2021-12-19,0-B20 ,, ، شهرک خالد قسمت اول ," فروش | 35,000$ با جور آمد   ",Dollar
1566,2021-12-18,1259,0,2021-12-18,0-H162 ,, ، مزارشریف ، ‌کمر بند سیاه گرد, فروش | 25 لک افغانی با جور آمد   ,HT
1561,2021-12-18,1280,0,2021-12-18,0-H162 ,, ، مزارشریف ، ‌خراسان 4," فروش | 90,000$ با جور آمد   ",Dollar
1552,2021-12-17,1294,0,2022-07-12,0-HG37 ,, شهرک امیری ," گروی | 9,000$ با جور آمد   ",Dollar
1543,2021-12-17,1274,0,2021-12-17,0-BG4 ,, شهرک خالد ، قسمت‌ 3," گروی | 9,000$ با جور آمد   ",Dollar
1533,2021-12-16,1220,0,2021-12-16,0-HG36 ,, ، شهرک خالد ، قسمت‌ 2," گروی | 5,000$ با جور آمد   ",Dollar
1522,2021-12-16,1242,0,2021-12-16,0-H126 ,, ، شهرک خالد ، قسمت‌ 2," فروش | 35,000$ با جور آمد   ",Dollar
1515,2021-12-15,1304,1,2021-12-15,0-H125 ,, مزارشریف ، شهرک خالد ، سرک تالار," فروش | 135,000$ با جور آمد   ",Dollar
1512,2021-12-15,1264,0,2021-12-15,0-K13 ,, مزارشریف ، کمر بند سابقه, فروش | 24$ فی متر  ,Dollar
1507,2021-12-14,1223,0,2021-12-14,0-H159 ,, شهرک خالد ، قسمت اول, فروش | 45 لک افغانی  ,HT
1496,2021-12-14,1172,0,2021-12-14,0-H158 ,, شهرک خالد ، قسمت 3, فروش | 35 لک افغانی  ,HT
1485,2021-12-13,1182,1,2021-12-13,0-H158 ,, شهرک خالد ، قسمت دوم, فروش | 40 لک افغانی  ,HT
1477,2021-12-13,1148,1,2021-12-13,0-HG36 ,, دشت شور ، کوچه 5," فروش | 18,000$ ",Dollar
1470,2021-12-13,1109,0,2021-12-13,1-DG1 ,,  کابل - مکرویان سوم, قیمت گروی  (4  لک افغانی ) ,HT
1467,2021-12-12,1123,0,2021-12-12,0-HG36 ,,, قیمت (6 لک افغانی ) ,HT
1457,2021-12-12,1115,0,2021-12-12,0-HG38 ,,," قیمت گروی (10,000$) ",Dollar
1444,2021-12-11,1101,0,2021-12-11,0-H157 ,,," قیمت فروش (32,000$) ",Dollar
1437,2021-12-11,1056,1,2021-12-11,0-H156 ,,," قیمت فروش (23,000$) ",Dollar
1426,2021-12-11,1065,0,2021-12-11,0-K79 ,,, قیمت فی متر (180$) ,Dollar
1411,2021-12-10,1127,0,2021-12-10,0-K78 ,فروش عاجل با جور آمد ,قباله شرعی ," قیمت (30,000$) ",Dollar
1409,2021-12-09,1135,0,2021-12-09,0-HG36 ,گروی عاجل ,," قیمت گروی (6,000$) ",Dollar
1398,2021-12-08,1139,1,2021-12-08,0-K77 ,,, قیمت فی متر (220$) ,Dollar
1392,2021-12-08,1112,0,2021-12-08,0-B19 ,بلاک دو اتاقه,," قیمت فروش (18,500$) ",Dollar
1383,2021-12-08,1031,0,2021-12-08,0-H155 ,,," قیمت فروش (43,500$) ",Dollar
1368,2021-12-07,1011,0,2021-12-07,0-H154 ,با داشتن مهمان خانه جداگانه,," قیمت فروش (68,500$) ",Dollar
1350,2021-12-07,947,0,2021-12-07,0-D3 ,12 متر مساحت,," قیمت فروش (65,000$) ",Dollar
1344,2021-12-07,963,0,2021-12-07,0-K51 ,,," قیمت فروش (27,000$) ",Dollar
1336,2021-12-06,931,0,2021-12-06,0-H153 ,,," قیمت فروش (80,000$) ",Dollar
1330,2021-12-06,908,0,2021-12-06,0-H151 ,,," قیمت فروش (86,000$) ",Dollar
1319,2021-12-06,921,1,2021-12-06,0-H152 ,,," قیمت فروش (65,000$) ",Dollar
1295,2021-12-04,893,0,2021-12-04,0-HG29 ,,," قیمت گروی (14,000$) ",Dollar
1286,2021-12-04,919,0,2021-12-04,0-H41 ,,," قیمت فروش (140,000$) ",Dollar
